"Rank","Root Domain","Linking Root Domains","Domain Authority"
"178","weibo.com","1,429,175","93"
"179","gmail.com","213,348","93"
"180","gizmodo.com","404,896","93"
"181","google.ca","339,736","93"
"182","samsung.com","372,717","93"
"183","thenai.org","499,004","93"
"184","nypost.com","389,905","93"
"185","thetimes.co.uk","396,350","93"
"186","lemonde.fr","264,488","93"
"187","bloglovin.com","511,371","93"
"188","repubblica.it","200,180","93"
"189","quora.com","407,648","93"
"190","whitehouse.gov","387,248","93"
"191","akamaized.net","261,623","93"
"192","ted.com","621,193","93"
"193","urbandictionary.com","256,191","93"
"194","imageshack.us","819,203","93"
"195","yadi.sk","180,965","93"
"196","instagram.com","25,544,711","93"
"197","akamaihd.net","554,097","93"
"198","news.com.au","307,848","93"
"199","www.over-blog.com","818,361","93"
"200","disqus.com","925,933","93"
"201","freepik.com","301,182","93"
"202","playstation.com","236,379","93"
"203","clarin.com","141,293","93"
"204","plos.org","285,178","93"
"205","mozilla.com","204,461","93"
"206","php.net","651,045","93"
"207","doi.org","467,638","93"
"208","biglobe.ne.jp","236,015","93"
"209","google.nl","248,910","93"
"210","hollywoodreporter.com","277,009","93"
"211","calendar.google.com","179,476","93"
"212","as.com","139,726","93"
"213","storage.googleapis.com","748,980","93"
"214","netflix.com","337,831","93"
"215","gooyaabitemplates.com","444,186","93"
"216","clickbank.net","480,500","93"
"217","mashable.com","429,477","93"
"218","canva.com","237,794","93"
"219","detik.com","395,315","93"
"220","berkeley.edu","476,966","93"
"221","themeforest.net","528,176","93"
"222","picasa.google.com","257,081","93"
"223","nbcnews.com","675,891","93"
"224","zdf.de","134,550","93"
"225","abc.es","201,047","93"
"226","kickstarter.com","472,818","93"
"227","alexa.com","325,573","93"
"228","e-recht24.de","468,735","93"
"229","lavanguardia.com","145,637","93"
"230","ft.com","466,916","93"
"231","t-online.de","248,751","93"
"232","bp2.blogger.com","551,918","93"
"233","lefigaro.fr","220,549","93"
"234","google.co.in","272,241","93"
"235","gofundme.com","342,804","93"
"236","cornell.edu","443,795","93"
"237","ovh.com","492,990","93"
"238","finance.yahoo.com","462,271","93"
"239","interia.pl","154,954","93"
"240","it.wikipedia.org","334,139","93"
"241","groups.google.com","345,257","93"
"242","mega.nz","177,914","93"
"243","e-monsite.com","146,353","93"
"244","fb.me","317,434","93"
"245","alibaba.com","396,316","93"
"246","liberation.fr","125,319","93"
"247","arxiv.org","230,679","93"
"248","abcnews.go.com","571,159","93"
"249","soundcloud.com","1,798,669","93"
"250","sciencemag.org","326,010","93"
"251","metro.co.uk","252,046","93"
